0101-0115	Hida
0116-0117	Tokyo
0118	Tochigi
0119-0120	Tokyo
0121-0126	Hida
0127	Osaka
0128-0131	Tokyo
0201-0213	Hida
0214-0215	Osaka
0216-0217	Kobe
0218-0221	Tokyo
0222-0224	Hokkaido
0225	Tokyo
0226-0307	Hida
0308-0309	Osaka
0310-0323	Hida
0324	Tokyo
0325	Tochigi
0326-0330	Yokohama
0331-0418	Kobe
0419	Osaka
0420-0422	Kobe
0423-0425	Hida
0426-0430	Kobe
0501	Osaka
0502	Kobe
0503-0504	Osaka
0505	Kobe
0506-0515	Hida
0516-0529	Kobe
0530-0611	Hida
0612-0619	Kobe
0620	Hida
0621	Osaka
0622-0625	Kobe
0623-0704	Hida
0705-0709	Kobe
0710-0715	Hida
0716-0717	Kyoto
0718	Kobe
0719	Osaka
0720-0721	Kobe
0722-0728	Hida
0729-0812	Kobe
0813	Tokyo
0814-0815	Tochigi
0816	Osaka
0817-0822	Kobe
0823-0824	Osaka
0825-0908	Kobe
0909-0913	Hida
0914-0917	Kobe
0918	Saga
0919	Nagasaki
0920-0924	Kobe
0925-0927	Hida
0928	Nagoya
0929-1003	Kobe
1004	Nara
1005-1010	Kobe
1011	Osaka
1012-1016	Kobe
1017	Kyoto
1018-1027	Kobe
1028	Osaka
1029-1031	Osaka
1101	Osaka
1102-1118	Kobe
1119-1125	Hida
1126	Kanazawa
1127-1129	Kobe
1130	Tokyo
1201-1206	Kobe
1207	Tokyo
1208-1209	Kobe
1210-1219	Hida
1220-1227	Kobe
1228-1229	Tokyo
1230-1231	Tochigi
