0101-0105	Tochigi
0106-0127	Kyoto
0128	Nara
0129-0205	Kyoto
0206	Osaka
0207-0304	Kyoto
0305	Osaka
0306-0312	Kyoto
0313	Osaka
0314-0322	Kyoto
0323	Osaka
0324-0325	Tokyo
0326-0328	Kyoto
0329-0401	Tochigi
0402-0406	Kyoto
0407	Osaka
0408-0413	Kyoto
0414	Osaka
0415-0420	Kyoto
0421-0422	Shizuoka
0423-0427	Kyoto
0428	US-GA
0429	US-AL
0430	US-LA
0501	US-TN
0502	US-AL
0503	US-GA
0504	US-TX
0505	Tokyo
0506-0510	Kyoto
0511	Kobe
0512-0622	Kyoto
0623	Osaka
0624-0715	Kyoto
0714	Nara
0715-0809	Kyoto
0809	Kobe
0810	Kyoto
0811-0815	Tochigi
0816-1025	Kyoto
1026	Kobe
1027-1109	Kyoto
1108	Nagoya
1109-1116	Kyoto
1117-1119	Tochigi
1120-1214	Kyoto
1215	Osaka
1216-1228	Kyoto
1229	Taiwan
1229-1231	QLD
