0101	Tochigi
0102	Tokyo
0103-0107	Kobe
0108-0114	Hida
0115-0116	Kobe
0117	Osaka
0118-0131	Kobe
0201	Osaka
0202-0206	Kobe
0207-0210	Hida
0207-0210	Kobe
0211	Kyoto
0212-0213	Kobe
0214	Osaka
0215-0223	Kobe
0224-0301	Hida
0302	Osaka
0303	Kobe
0304	Tokyo
0305	Tochigi
0306	Yokohama
0307-0308	Hida
0309-0312	Kobe
0313-0316	Tokushima
0317	Kobe
0318-0322	Sendai
0323-0326 	Kobe
0327 	Osaka
0328-0331 	Kobe
0401-0403 	Osaka
0404-0408 	Kobe
0409-0410 	Osaka
0411 	Kobe
0412 	Kyoto
0413-0414 	Kobe
0414-0422 	Hida
0423-0503 	Kobe
0504-0505 	Tokyo
0506 	Kobe
0507-0515 	Hida
0516 	Kobe
0517 	Okayama
0518-0602 	Kobe
0603-0610 	Hida
0611 	Kobe
0612 	Osaka
0613-0614 	Kobe
0615 	Osaka
0616-0617 	Kobe
0618	Osaka
0619-0625	Jeju
0626-0704	Kobe
0705-0711	Hida
0712-0717	Kobe
0718	Osaka
0719-0722	Hida
0723	Mountain
0724-0729	Hida
0730	Kobe
0731	Osaka
0801-0819	Hida
0820	Osaka
0821	Kobe
0822-0902	Hida
0903-0904	Mountain
0905-0909	Kobe
0910-0916	Hida
0917-0919	Kobe
0920-0924	Miyazaki
0925-0926	Kobe
0927-1003	Hida
1004-1008	Kobe
1009-1014	Hida
1015-1016	Tochigi
1017-1020	Kobe
1021-1027	Hida
1028-1029	Kobe
1030	Osaka
1031-1105	Kobe
1106	Osaka
1107-1114	Kobe
1115-1119	Hida
1120-1122	Kobe
1123	Osaka
1124-1126	Kobe
1127	Osaka
1128-1211	Kobe
1212-1219	Hida
1220-1229	Kobe
1230	Osaka
1231	Kobe
