0101-0106	Kobe
0107	Osaka
0108-0109	Kobe
0110-0127	Hida
0128-0129	Kyoto
0130-0201	Kobe
0202-0210	Hida
0211	Kobe
0212	Nara
0213-0225	Kobe
0226	Kyoto
0227-0307	Hida
0308	Kobe
0309-0316	Hida
0309-0316	Hida
0317-0320	Osaka
0321	Kyoto
0321-0324	Kobe
0325	Kyoto
0326-0328	Nagoya
0329	Kyoto
0330	Kobe
0331	Osaka
0401-0402	Tochigi
0403-0412	Kyoto
0413	Osaka
0414-0415	Kyoto
0417	Nara
0418-0512	Kyoto
0513	Shiga
0514-0529	Kyoto
0530	Osaka
0531-0605	Kyoto
0606	Kobe
0607-0709	Kyoto
0710	Kobe
0710-0714	Kyoto
0715-0716	Fukui
0717	Tokyo
0718-0731	Kyoto
0801	Kobe
0802-0804	Kyoto
0805	Osaka
0806-0811	Kyoto
0812-0815	Mountain
0816-0915	Kyoto
0916-0917	Tokyo
0918-1006	Kyoto
1007-1009	Tochigi
1008-1028	Kyoto
1029	Kobe
1030-1109	Kyoto
1110-1112	Toyama
1113-1208	Kyoto
1209	Osaka
1210-1221	Kyoto
1222	Osaka
1223	Kyoto
1224	Shiga
1225-1228	Kyoto
1229-1231	Tochigi
